Velocity (m/s),Normal Force (N),Ax (m/s^2),Abx (m/s^2),Gear,RPM,Torque (N-m),Drivetrain Info,Susp Info,Aero Info,Physics Info
0,2786.04,0.632887471976917,14.2245,1,2000,21.69308717,2.75,154,0.24,1.293
0.350450747416823,2786.05429206608,1.01506831113727,14.2248036225305,1,2500,25.76054102,2,60,0.55,9.81
0.700901494833646,2786.09716826431,1.53600046261789,14.225714490122,1,3000,28.47217691,1.67,16,0.75,284
1.05135224225047,2786.16862859469,2.14845910985742,14.2272326027746,1,3500,29.82799486,1.444,1.4,10,0
1.40180298966729,2786.26867305723,2.80521943629452,14.2293579604882,1,4000,29.82799486,1.304,6.6,0,0
1.75225373708411,2786.39730165193,3.45905662536782,14.2320905632628,1,4500,23.04890512,1.208,0.79,0,0
2.10270448450094,2786.55451437878,4.06274586051598,14.2354304110984,1,5000,18.98145128,2.11,2,0,0
2.45315523191776,2786.74031123778,4.56906232517765,14.239377503995,1,5500,27.11635897,3.85,2000,0,0
2.80360597933458,2786.95469222893,4.93078120279147,14.2439318419527,1,6000,35.25126666,60,0.5,0,0
3.15405672675141,2787.19765735224,5.12927210274256,14.2490934249714,1,6500,36.6070846,0.08,0,0,0
3.50450747416823,2787.46920660771,5.3067833239962,14.2548622530511,1,7000,39.3187205,0.025,0,0,0
3.85495822158505,2787.76933999533,5.14427264889464,14.2612383261918,1,7500,42.0303564,0,0,0,0
4.20540896900187,2788.0980575151,4.21573914887017,14.2682216443936,1,8000,46.09781024,0,0,0,0
4.5558597164187,2788.45535916703,3.70688200840754,14.2758122076564,2,8500,51.52108204,0,0,0,0
4.90631046383552,2788.84124495111,3.79312643718826,14.2840100159802,2,9000,52.87689998,0,0,0,0
5.25676121125234,2789.25571486735,4.77591996246667,14.292815069365,1,9500,51.52108204,0,0,0,0
5.60721195866916,2789.69876891574,5.97055910852069,14.3022273678108,1,10000,50.16526409,0,0,0,0
5.95766270608599,2790.17040709628,6.3804689684254,14.3122469113177,1,10500,48.80944614,0,0,0,0
6.30811345350281,2790.67062940898,6.51527262071641,14.3228736998856,1,11000,47.45362819,0,0,0,0
6.65856420091963,2791.19943585383,6.91562914139727,14.3341077335145,1,11500,44.74199229,0,0,0,0
7.00901494833646,2791.75682643084,7.27415524717421,14.3459490122044,1,12000,43.38617435,0,0,0,0
7.35946569575328,2792.34280114,7.69762012740326,14.3583975359554,1,12500,42.0303564,0,0,0,0
7.7099164431701,2792.95735998131,8.35074019941575,14.3714533047674,1,13000,40.67453845,0,0,0,0
8.06036719058692,2793.60050295478,9.0882588670738,14.3851163186404,1,13500,39.3187205,0,0,0,0
8.41081793800375,2794.27223006041,9.39205146045861,14.3993865775744,1,14000,37.96290255,0,0,0,0
8.76126868542057,2794.97254129819,9.30824829576718,14.4142640815694,1,14500,36.6070846,0,0,0,0
9.11171943283739,2795.70143666812,9.09197408344095,14.4297488306255,1,15000,36.1214656,0,0,0,0
9.46217018025422,2796.4589161702,8.90581000869594,14.4458408247426,1,15500,35.4193789,0,0,0,0
9.81262092767104,2797.24497980444,8.71098197095269,14.4625400639207,1,16000,35.0174289,0,0,0,0
10.1630716750879,2798.05962757084,8.54489855141549,14.4798465481598,1,0,0,0,0,0,0
10.5135224225047,2798.90285946939,8.32394728270182,14.49776027746,1,0,0,0,0,0,0
10.8639731699215,2799.77467550009,7.93670747238409,14.5162812518211,1,0,0,0,0,0,0
11.2144239173383,2800.67507566295,7.68447888938955,14.5354094712433,1,0,0,0,0,0,0
11.5648746647552,2801.60405995796,7.52407513743497,14.5551449357266,1,0,0,0,0,0,0
11.915325412172,2802.56162838512,7.32627561266827,14.5754876452708,1,0,0,0,0,0,0
12.2657761595888,2803.54778094444,7.13469913070278,14.5964375998761,1,0,0,0,0,0,0
12.6162269070056,2804.56251763592,6.94360354938297,14.6179947995424,1,0,0,0,0,0,0
12.9666776544224,2805.60583845954,6.75414984840703,14.6401592442697,1,0,0,0,0,0,0
13.3171284018393,2806.67774341533,6.56156484810059,14.662930934058,1,0,0,0,0,0,0
13.6675791492561,2807.77823250326,6.35472214076242,14.6863098689074,1,0,0,0,0,0,0
14.0180298966729,2808.90730572335,6.23533873426595,14.7102960488177,1,0,0,0,0,0,0
14.3684806440897,2810.0649630756,6.16878453756711,14.7348894737891,1,0,0,0,0,0,0
14.7189313915066,2811.25120456,6.06032003329138,14.7600901438215,1,0,0,0,0,0,0
15.0693821389234,2812.46603017655,5.97102983323024,14.785898058915,1,0,0,0,0,0,0
15.4198328863402,2813.70943992526,5.38294180907522,14.8123132190695,2,0,0,0,0,0,0
15.770283633757,2814.98143380612,5.29497422926546,14.8393356242849,2,0,0,0,0,0,0
16.1207343811738,2816.28201181914,5.18931896090269,14.8669652745614,2,0,0,0,0,0,0
16.4711851285907,2817.61117396431,5.07684607654236,14.895202169899,2,0,0,0,0,0,0
16.8216358760075,2818.96892024163,4.96916347547191,14.9240463102975,2,0,0,0,0,0,0
17.1720866234243,2820.35525065111,4.8617123641321,14.9534976957571,2,0,0,0,0,0,0
17.5225373708411,2821.77016519274,4.75287797646932,14.9835563262777,2,0,0,0,0,0,0
17.872988118258,2823.21366386653,4.64635235400699,15.0142222018593,2,0,0,0,0,0,0
18.2234388656748,2824.68574667247,4.53800608236801,15.045495322502,2,0,0,0,0,0,0
18.5738896130916,2826.18641361056,4.41926393178984,15.0773756882056,2,0,0,0,0,0,0
18.9243403605084,2827.71566468081,4.31237128604247,15.1098632989703,2,0,0,0,0,0,0
19.2747911079253,2829.27349988322,4.25089958865805,15.142958154796,2,0,0,0,0,0,0
19.6252418553421,2830.85991921777,4.2107554644977,15.1766602556827,2,0,0,0,0,0,0
19.9756926027589,2832.47492268449,4.15258962166491,15.2109696016305,2,0,0,0,0,0,0
20.3261433501757,2834.11851028335,4.08473083756578,15.2458861926393,2,0,0,0,0,0,0
20.6765940975925,2835.79068201437,4.02974699953933,15.2814100287091,2,0,0,0,0,0,0
21.0270448450094,2837.49143787755,3.7438041533071,15.3175411098399,3,0,0,0,0,0,0
21.3774955924262,2839.22077787287,3.66371504693958,15.3542794360317,3,0,0,0,0,0,0
21.727946339843,2840.97870200036,3.58295471817024,15.3916250072846,3,0,0,0,0,0,0
22.0783970872598,2842.76521025999,3.49614586171091,15.4295778235985,3,0,0,0,0,0,0
22.4288478346767,2844.58030265179,3.40756627939349,15.4681378849734,3,0,0,0,0,0,0
22.7792985820935,2846.42397917573,3.33635647190066,15.5073051914093,3,0,0,0,0,0,0
23.1297493295103,2848.29623983183,3.29303490770017,15.5470797429063,3,0,0,0,0,0,0
23.4802000769271,2850.19708462008,3.25892563824591,15.5874615394642,3,0,0,0,0,0,0
23.830650824344,2852.12651354049,3.21374352903614,15.6284505810832,3,0,0,0,0,0,0
24.1811015717608,2854.08452659305,3.15994345913058,15.6700468677633,3,0,0,0,0,0,0
24.5315523191776,2856.07112377777,3.10848261933899,15.7122503995043,3,0,0,0,0,0,0
24.8820030665944,2858.08630509464,3.07033295550407,15.7550611763064,3,0,0,0,0,0,0
25.2324538140112,2860.13007054367,2.83265803095455,15.7984791981694,4,0,0,0,0,0,0
25.5829045614281,2862.20242012485,2.76071240079482,15.8425044650935,4,0,0,0,0,0,0
25.9333553088449,2864.30335383818,2.68857404893962,15.8871369770787,4,0,0,0,0,0,0
26.2838060562617,2866.43287168367,2.62739791200406,15.9323767341248,4,0,0,0,0,0,0
26.6342568036785,2868.59097366131,2.58509873080133,15.978223736232,4,0,0,0,0,0,0
26.9847075510954,2870.7776597711,2.55310285511525,16.0246779834002,4,0,0,0,0,0,0
27.3351582985122,2872.99293001305,2.5181168600029,16.0717394756294,4,0,0,0,0,0,0
27.685609045929,2875.23678438716,2.47439619255752,16.1194082129197,4,0,0,0,0,0,0
28.0360597933458,2877.50922289342,2.42720389301948,16.1676841952709,4,0,0,0,0,0,0
28.3865105407626,2879.81024553183,2.38267315315002,16.2165674226832,4,0,0,0,0,0,0
28.7369612881795,2882.13985230239,2.34693716471038,16.2660578951565,4,0,0,0,0,0,0
29.0874120355963,2884.49804320512,2.1394288928384,16.3161556126908,5,0,0,0,0,0,0
29.4378627830131,2886.88481823999,2.09851340048034,16.3668605752862,5,0,0,0,0,0,0
29.7883135304299,2889.30017740702,2.0665464631963,16.4181727829426,5,0,0,0,0,0,0
30.1387642778468,2891.7441207062,2.03459299969648,16.47009223566,5,0,0,0,0,0,0
30.4892150252636,2894.21664813754,1.99601844221329,16.5226189334384,5,0,0,0,0,0,0
30.8396657726804,2896.71775970103,1.9528615052342,16.5757528762778,5,0,0,0,0,0,0
31.1901165200972,2899.24745539668,1.90920094861546,16.6294940641783,5,0,0,0,0,0,0
31.540567267514,2901.80573522448,1.86911553221332,16.6838424971398,5,0,0,0,0,0,0
31.8910180149309,2904.39259918443,1.83668401588402,16.7387981751623,5,0,0,0,0,0,0
32.2414687623477,2907.00804727654,1.68764345286085,16.7943610982458,6,0,0,0,0,0,0
32.5919195097645,2909.65207950081,1.65499000376325,16.8505312663903,6,0,0,0,0,0,0
32.9423702571813,2912.32469585722,1.61675754198726,16.9073086795959,6,0,0,0,0,0,0
33.2928210045982,2915.02589634579,1.57509289569574,16.9646933378625,6,0,0,0,0,0,0
33.643271752015,2917.75568096652,1.53299996514416,17.0226852411901,6,0,0,0,0,0,0
33.9937224994318,2920.5140497194,1.49348265058796,17.0812843895788,6,0,0,0,0,0,0
34.3441732468486,2923.30100260443,1.4595448522826,17.1404907830284,6,0,0,0,0,0,0
34.6946239942655,2926.11653962162,1.43419047048355,17.2003044215391,6,0,0,0,0,0,0
